HS Code,Chapter,Tariff Description,CD,SD,VAT,AIT,RD,AT,TTI,Source Page
02071410,02,"Frozen Cuts And Offal Of Chicken, Wrapped/Canned upto 2.5 kg",15,10,15,5,0,7.5,59.96,2
02071490,02,"Frozen Cuts And Offal Meat Of Fowls, Nes",25,0,15,5,0,7.5,58.13,2
02072410,02,"Fresh/Chilled Meat&Edible Offal Of Turkeys Not Cut Inpieces, Wrapped/Canned upto 2.5",25,10,15,5,0,7.5,73.44,2
02072490,02,"Fresh Or Chilled Meat & Edible Offal Of Trukeys Not Cut Inpieces, Nes",25,10,0,5,0,0,42.50,2
02072510,02,"Frozen Meat & Edible Offal Of Turkeys Not Cut Inpieces, Wrapped/Canned upto 2.5 kg",25,10,15,5,0,7.5,73.44,2
02072590,02,"Frozen Meat & Edible Offal Of Turkeys Not Cut Inpieces, Nes",25,10,0,5,0,0,42.50,2
02072610,02,"Fresh Or Chilled Cuts And Offal Of Meat Of Turkeys, Wrapped/Canned upto 2.5 kg",25,10,15,5,0,7.5,73.44,2
02072690,02,"Fresh Or Chilled Cuts And Offal Of Meat Of Trukeys, Nes",25,10,0,5,0,0,42.50,2
02072710,02,"Frozen Cuts And Offal Of Meat Of Turkeys, Wrapped/Canned upto 2.5 kg",25,10,15,5,0,7.5,73.44,2
02072790,02,"Frozen Cuts And Offal Of Meat Of Turkeys, Nes",25,10,0,5,0,0,42.50,2
02074110,02,"Meat and edible offal of not cut in pieces, fresh or chilled of ducks wrapped/canned",25,10,15,5,0,7.5,73.44,2
02074190,02,"Other meat and edible offal of not cut in pieces, fresh or chilled of ducks",25,0,0,5,0,0,30.00,2
02074210,02,"Meat and edible offal of not cut in pieces, frozen of ducks wrapped/canned upto 2.5 k",25,0,15,5,0,7.5,58.13,2
02074290,02,"Other meat and edible offal of not cut in pieces, frozen of ducks",25,10,0,5,0,0,42.50,2
02074310,02,"Meat and edible offal of fatty livers, fresh or chilled of ducks wrapped/canned upto",25,10,15,5,0,7.5,73.44,2
02074390,02,"Other meat and edible offal of fatty livers, fresh or chilled of ducks",25,10,0,5,0,0,42.50,2
02074410,02,Other meat and edible offal of fresh or chilled of ducks wrapped/canned upto 2.5 kg,25,10,15,5,0,7.5,73.44,2
02074490,02,"Other, meat and edible offal of fresh or chilled of ducks nes.",25,10,0,5,0,0,42.50,2
02074510,02,Other frozen meat and edible offal of ducks wrapped/canned upto 2.5 Kg,25,10,15,5,0,7.5,73.44,2
02074590,02,"Other, frozen meat and edible offal of ducks nes,",25,10,0,5,0,0,42.50,2
02075110,02,"Meat and edible offal not cut in pieces, fresh or chilled of geese wrapped/canned upto 2",25,10,15,5,0,7.5,73.44,2
02075190,02,"Other meat and edible offal not cut in pieces, fresh or chilled of geese",25,10,0,5,0,0,42.50,2
02075210,02,"Meat and edible offal not cut in pieces, frozen of ducks wrapped/canned upto 2.5 Kg",25,10,15,5,0,7.5,73.44,2
02075290,02,"Other meat and edible offal not cut in pieces, frozen of geese",25,10,0,5,0,0,42.50,2
02075310,02,"Meat and edible offal fatty livers, fresh or chilled of geese wrapped/canned upto 2.5 Kg",25,10,15,5,0,7.5,73.44,2
02075390,02,"Other meat and edible offal fatty livers, fresh or chilled of geese",25,10,0,5,0,0,42.50,2
02075410,02,Other meat and edible offal fresh or chilled of geese wrapped/canned upto 2.5 Kg,25,10,15,5,0,7.5,73.44,2
02075490,02,"Other meat and edible offal fresh or chilled of geese, nes",25,10,0,5,0,0,42.50,2
02075510,02,Other meat and edible offal frozen geese wrapped/canned upto 25 k,25,10,15,5,0,7.5,73.44,2
02075590,02,"Other meat and edible offal frozen of geese nes,",25,10,0,5,0,0,42.50,2
02076010,02,Meat and edible offal of guinea fowls wrapped/canned upto 2.5 Kg,25,10,15,5,0,7.5,73.44,2
02076090,02,Meat and edible offal of guinea fowls EXCL. wrapped/canned upto 2.5 Kg,25,10,0,5,0,0,42.50,2
02081010,02,"Fresh,Chill. Or Froz.Meat And Edible Offal Of Rabbits,Hares, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,2
02081090,02,"Fresh,Chilled Or Froz.Meat And Edible Offal Of Rabbits Or Hares, Nes",25,0,0,5,5,0,35.00,2
02083010,02,"OTHER MEAT&EDIBLE MEAT OFFAL,FRESH,CHILLED OR FROZEN OF PRIMATES,Wrap./Can. upto 2.5kg",25,0,15,5,5,7.5,64.25,2
02083090,02,"OTHER MEAT&EDIBLE MEAT OFFAL,FRESH,CHILLED OR FROZEN OF PRIMATES, Nes",25,0,0,5,5,0,35.00,2
02084010,02,"OTHER MEAT & EDIBLE MEAT OFFAL OF WHALES,..(MAMMALS OF THE SUBORDER PINNIPEDIA)..2.5KG",25,0,15,5,5,7.5,64.25,2
02084090,02,"WHALES DOLPHINS & PORPOISES,.. MANATEES AND DUGONGS, Nes",25,0,0,5,5,0,35.00,2
02085010,02,"PEPTILES (INCLUDING SNAKES AND TURTLES), WRAPPED/CANNED upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02085090,02,"REPTILES (INCLUDING SNAKES AND TURLTES), Nes",25,0,0,5,5,0,35.00,3
02086010,02,Meat and edible meat offal of camels and other camelids ( Camelidae) Wrapped/canned upto,25,0,15,5,5,7.5,64.25,3
02086090,02,Other meat and edible meat offal of camels and other camelids ( Camelidae),25,0,15,5,5,7.5,64.25,3
02089010,02,"Fresh,Chilled Or Frozen Meat And Edible Offal, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02089090,02,"Fresh,Chilled Or Frozen Meat And Edible Offal, Nes",25,0,0,5,5,0,35.00,3
02091010,02,"Pig fat not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, d",25,0,15,5,5,7.5,64.25,3
02091090,02,"Other pig fat not rendered or otherwise extracted, fresh, chilled, frozen, salted, in br",25,0,15,5,5,7.5,64.25,3
02099010,02,"Free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chi...ed",25,0,15,5,5,7.5,64.25,3
02099090,02,Poultry fat free of lean meat excl.wrapped/canned upto 2.5 kg,25,0,0,5,5,0,35.00,3
02101110,02,"Hams,Shoulders & Cuts Thereof Bone In,Salted..Or Smoked,Wrapp/Can upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02101190,02,"Swine Hams, Shoulders And Cuts Thereof,Bone In Salted..Or Smoked, Nes",25,0,0,5,5,0,35.00,3
02101210,02,"Bellies And Cuts Thereof Of Swine,Salted.. Or Smoked,Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02101290,02,"Bellies & Cuts Thereof Swine,Salted.. Or Smoked, Nes",25,0,0,5,5,0,35.00,3
02101910,02,"Meat Of Swine,Salted... Or Smoked, Nes, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02101990,02,"Meat Of Swine,Salted.. Or Smoked,Nes, (excl. wrapped/canned upto 2.5 kg)",25,0,0,5,5,0,35.00,3
02102010,02,"Meat Of Bovine Animals,Salted... Or Smoked, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02102090,02,"Meat Of Bovine Animals, Salted... Or Smoked, Nes",25,0,0,5,5,0,35.00,3
02109110,02,"OTHER,INCLUDING EDIBLE FLOURS&MEALS OF MEAT OR MEAT OFFAL OF PRI..,Wrap/Can upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02109190,02,"OTHER,INCLUDING EDIBLE FLOURS&MEALS OF MEAT OR MEAT OFFAL OF PRIMATES, Nes",25,0,0,5,5,0,35.00,3
02109210,02,"MEAT & EDIBLE MEAT OFFAL OF WHALES,DOLPHINS..OF SEAL,SEA LIONS & WALRUSES..UPTO 2.5 KG",25,0,15,5,5,7.5,64.25,3
02109290,02,"OTHER MEAT & EDIBLE MEAT..OF SEALS,SEA LIONS & WALRUSES(MAMMALS OF SUBORDER PINNIPEDIA)",25,0,0,5,5,0,35.00,3
02109310,02,"REPTILES (INCLUDING SNAKES AND TURTLES), WRAPPED/CANNED upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02109390,02,"REPTILES (INCLUDING SNAKES AND TURTLES), Nes",25,0,0,5,5,0,35.00,3
02109910,02,"MEAT AND EDIBLE MEAT OFFAL,SALTED,IN BRINE,DRIED OR SMOKED,OTHER, Wrap/Can upto 2.5 kg",25,0,15,5,5,7.5,64.25,3
02109990,02,"MEAT AND EDIBLE MEAT OFFAL,SALTED,IN BRINE,DRIED OR SMOKED,OTHER, Nes",15,0,0,5,0,0,20.00,3
03011100,03,"Ornamental fish, Freshwater",25,0,0,5,5,0,35.00,3
03011900,03,Ornamental fish Excl. Freshwater,25,0,0,5,5,0,35.00,3
03019110,03,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apach.) fry",0,0,0,2,0,0,2.00,3
03019190,03,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apa.)(Ex.fry)",25,0,0,5,5,0,35.00,3
03019210,03,Live Eels Fry,0,0,0,2,0,0,2.00,3
03019290,03,"Live Eels, Excl. Fry",25,0,0,5,5,0,35.00,3
03019310,03,"CARP(CYPRINUS CARPIO, CARASSIUS,CTENOPHARYNGODON IDELLUS,....MYLOPHARYNGODON PICEUS;FRY",0,0,0,2,0,0,2.00,3
03019390,03,"OTHER CARP(CYPRINUS CARPIO, CARASSIUS,CTENOPHARYNGODON IDELLUS,..MYLOPHARYNGODON PICEUS",25,0,0,5,5,0,35.00,3
03019410,03,"ATLANTIC & PACIFIC BLUEFIN TUNAS(THUNNUS THYNNUS, THUNNUS ORIENTALIS) FRY",0,0,0,5,0,0,5.00,3
03019490,03,"OTHER ATLANTIC & PACIFIC BLUEFIN TUNAS(THUNNUS THYNNUS, THUNNUS ORIENTALIS)",25,0,0,5,5,0,35.00,3
03019510,03,Southern bluefin tunas (Thunnus maccoyii) Fry,0,0,0,5,0,0,5.00,3
03019590,03,"Southern bluefin tunas (Thunnus maccoyii), Excl. Fry",25,0,0,5,5,0,35.00,3
03019910,03,"Other Live Fish (Excl. Trout,Eels & Carps) Fry",0,0,0,2,0,0,2.00,3
03019990,03,"Other Live Fish,(Excl.Trout, Eels & Carps) Excl. Fry",25,0,0,5,5,0,35.00,3
03021110,03,Fresh Or Chill. Trout (Excl. Livers & Roes) Wrapped/Canned upto 2.5 kg,25,0,15,5,5,7.5,64.25,3
03021190,03,"Fresh Or Chill. Trout (Excl. Livers & Roes),Nes",15,0,15,5,0,0,37.25,3
03021310,03,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha . rhodurus), Wrapped/canne",25,10,15,5,5,7.5,80.18,3
03021390,03,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha . rhodurus), Excl. Wrapped",25,10,15,5,5,0,69.45,3
03021410,03,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) Wrapped/canned upto 2.5,25,10,15,5,5,7.5,80.18,3
03021490,03,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/canned up,25,10,15,5,5,0,69.45,3
03021910,03,"FISH...RUHI,KATLA,MRIGEL,PANGASH,KARP AND ALIKE WRAPPED/CANNED UPTO 2.5KG",25,0,15,5,5,7.5,64.25,3
03021990,03,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",25,10,15,5,5,0,69.45,3
03022110,03,Fresh Or Chilled Halibut (Excl. Livers & Roes) Wrapped/Canned upto 2.5kg,25,0,15,5,5,7.5,64.25,3
03022190,03,"Fresh Or Chilled Halibut (Excl. Livers & Roes),NES",15,0,15,5,0,0,37.25,3
03022210,03,Fresh Or Chilled Plaice (Excl.Livers & Roes) Wrapped/Canned upto 2.5kg,25,0,15,5,5,7.5,64.25,3
03022290,03,"Fresh Or Chilled Plaice (Excl. Livers & Roes),nes",25,0,15,5,5,0,54.50,3
03022310,03,Fresh Or Chilled Sole (Excl. Livers & Roes) Wrapped/Canned upto 2.5kg,25,0,15,5,5,7.5,64.25,3
03022390,03,"Fresh Or Chilled Sole (Excl. Livers & Roes) ,nes",25,0,15,5,5,0,54.50,3
03022410,03,Turbots (Psetta maxima) Wrapped/canned upto 2.5 Kg,25,0,15,5,5,7.5,64.25,3
03022490,03,Other Turbots (Psetta maxima),15,0,15,5,0,0,37.25,3
03022910,03,"Fresh Or Chilled,Oth.Flat Fish(Excl.Livers & Roes),Wrapped/Canned upto 2.5kg",25,0,15,5,5,7.5,64.25,3
03022990,03,"Fresh Or Chilled,Oth.Flat Fish(Excl.Livers & Roes),nes",25,0,15,5,5,0,54.50,3
